iso3,country_name,year,start_date,start_date_accuracy,end_date,end_date_accuracy,event_name,hazard_category,hazard_category_name,hazard_sub_category,hazard_sub_category_name,hazard_type,hazard_type_name,hazard_sub_type,hazard_subtype_name,new_displacement,new_displacement_rounded,total_displacement,total_displacement_rounded,event_codes
USA,United States of America,2020,2020-08-17,Day,2020-08-28,Week,USA: Wildfire (White River) - Oregon (Wasco County) - 17/08/2020,2,Weather related,2,Climatological,9,Wildfire,11,,984,980,,,[]
USA,United States of America,2020,2020-08-17,Day,2020-09-10,Week,"USA: Wildfire (North Complex - includes Bear) - California (Butte, Plumas and Yuba counties) - 17/08/2020",2,Weather related,2,Climatological,9,Wildfire,11,,39450,39000,3960,4000,[]
IND,India,2020,2020-08-17,Week,2020-09-30,Week,India: Flood [monsoon] - Maharashtra - August 2020,2,Weather related,3,Hydrological,10,Flood,13,,14135,14000,531,530,[]
PHL,Philippines,2020,2020-08-18,Day,2020-08-18,Day,Philippines: Earthquake - Bicol (Masbate) - 18/08/2020,1,Geophysical,1,Geophysical,1,Earthquake,1,,1369,1400,,,[]
CAN,Canada,2020,2020-08-18,Day,2020-08-19,Day,Canada: Wildfire (Christie Mountain) - British Columbia (Regional District of Okanagan-Similkameen) - 18/08/2020,2,Weather related,2,Climatological,9,Wildfire,11,,798,800,3,3,[]
CHN,China,2020,2020-08-18,Day,2020-08-19,Day,China: Landslide - Gansu (Longnan City) - 18/08/2020,2,Weather related,3,Hydrological,11,Mass Movement,15,,251,250,,,[]
USA,United States of America,2020,2020-08-18,Day,2020-08-19,Week,USA: Wildfire (Carmel) - California (Monterey County) - 18/08/2020,2,Weather related,2,Climatological,9,Wildfire,11,,43761,44000,130,130,[]
USA,United States of America,2020,2020-08-18,Day,2020-08-21,Week,USA: Wildfire (Palmer) - Washington (Okanogan) - 18/08/2020,2,Weather related,2,Climatological,9,Wildfire,11,,398,400,78,78,[]
BOL,Bolivia (Plurinational State of),2020,2020-08-19,Day,2020-08-19,Day,Bolivia: Floods - Santa Cruz - 19/08/2020 ,2,Weather related,3,Hydrological,10,Flood,13,,30,30,,,[]
CAN,Canada,2020,2020-08-19,Day,2020-08-19,Day,Canada: Wildfire (Doctor Creek) - British Columbia (Regional District of East Kootenay) - 19/08/2020,2,Weather related,2,Climatological,9,Wildfire,11,,25,25,,,[]
ESP,Spain,2020,2020-08-19,Day,2020-08-19,Day,Spain: Wildfire - Murcia (Blanca) - 19/08/2020,2,Weather related,2,Climatological,9,Wildfire,11,,10,10,,,[]
USA,United States of America,2020,2020-08-19,Day,2020-08-19,Day,USA: Tornado - Florida (Volusia County) - 19/08/2020,2,Weather related,4,Meteorological,14,Storm,21,,39,39,,,[]
IND,India,2020,2020-08-19,Day,2020-08-20,Week,India: Flood [monsoon] - Haryana (Gurgaon) -  19/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,2,2,,,[]
MMR,Myanmar,2020,2020-08-19,Day,2020-08-20,Day,Myanmar: Flood - Shan North (Kunlong) - 19/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,69,69,,,[]
USA,United States of America,2020,2020-08-19,Week,2020-09-14,Week,USA: Wildfire (SQF Complex) - California (Tulare) - 19/08/2020,2,Weather related,2,Climatological,9,Wildfire,11,,6799,6800,450,450,[]
PHL,Philippines,2020,2020-08-20,Day,2020-08-20,Day,Philippines: Strong wind - Davao Region (Davao del sur/Davao city) - 20/08/2020,2,Weather related,4,Meteorological,14,Storm,21,,145,140,,,[]
VNM,Viet Nam,2020,2020-08-20,Day,2020-08-20,Day,Viet Nam: Landslide - Northwest (Lai Chau) - 20/08/2020,2,Weather related,3,Hydrological,11,Mass Movement,15,,11,11,,,[]
KEN,Kenya,2020,2020-08-20,Week,2020-08-21,Week,Kenya: Lake Turkana Flood - Turkana - 20/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,38789,39000,14469,14000,[]
MMR,Myanmar,2020,2020-08-20,Day,2020-08-21,Day,Myanmar: Flood - Shan North (Tangyang) - 20/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,320,320,,,[]
TCD,Chad,2020,2020-08-20,Day,2020-08-26,Day,Chad: Floods - Lac (Kaya/Ngouboua) - 20/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,2052,2100,,,[]
MEX,Mexico,2020,2020-08-20,Day,2020-09-26,Day,"Mexico, USA: Hurricane Marco - Caribbean - 20/08/2020",2,Weather related,4,Meteorological,14,Storm,24,,6,6,,,[]
USA,United States of America,2020,2020-08-20,Day,2020-09-26,Day,"Mexico, USA: Hurricane Marco - Caribbean - 20/08/2020",2,Weather related,4,Meteorological,14,Storm,24,,49,49,,,[]
ESP,Spain,2020,2020-08-21,Day,2020-08-21,Day,Spain: Wildifire - Canary Islands (Garafía) - 21/08/2020,2,Weather related,2,Climatological,9,Wildfire,11,,300,300,,,[]
CMR,Cameroon,2020,2020-08-21,Day,2020-08-24,Day,Cameroon: Floods - Littoral (Douala) - 21/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,4410,4400,,,[]
CMR,Cameroon,2020,2020-08-21,Day,2020-08-24,Day,Cameroon: Landslide - Southwest (Kupe-Muanenguba/Nguti) - 21/08/2020,2,Weather related,3,Hydrological,11,Mass Movement,15,,200,200,,,[]
KOR,Republic of Korea,2020,2020-08-21,Day,2020-08-27,Day,"China, South Korea: Typhoon Bavi (Igme) - 21/08/2020",2,Weather related,4,Meteorological,14,Storm,24,,29,29,,,[]
CUB,Cuba,2020,2020-08-21,Day,2020-08-31,Day,"DOM, HTI, CUB, PRI, USA: Hurricane Laura - Caribbean - 21/08/2020",2,Weather related,4,Meteorological,14,Storm,24,,417664,418000,,,"['TC-2020-000189-HTI', 'TC-2020-000189-USA']"
DOM,Dominican Republic,2020,2020-08-21,Day,2020-08-31,Day,"DOM, HTI, CUB, PRI, USA: Hurricane Laura - Caribbean - 21/08/2020",2,Weather related,4,Meteorological,14,Storm,24,,15210,15000,3707,3700,"['TC-2020-000189-HTI', 'TC-2020-000189-USA']"
HTI,Haiti,2020,2020-08-21,Day,2020-08-31,Day,"DOM, HTI, CUB, PRI, USA: Hurricane Laura - Caribbean - 21/08/2020",2,Weather related,4,Meteorological,14,Storm,24,,957,960,808,810,"['TC-2020-000189-HTI', 'TC-2020-000189-USA']"
PRI,Puerto Rico,2020,2020-08-21,Day,2020-08-31,Day,"DOM, HTI, CUB, PRI, USA: Hurricane Laura - Caribbean - 21/08/2020",2,Weather related,4,Meteorological,14,Storm,24,,61,61,,,"['TC-2020-000189-HTI', 'TC-2020-000189-USA']"
USA,United States of America,2020,2020-08-21,Day,2020-08-31,Day,"DOM, HTI, CUB, PRI, USA: Hurricane Laura - Caribbean - 21/08/2020",2,Weather related,4,Meteorological,14,Storm,24,,585000,585000,42526,43000,"['TC-2020-000189-HTI', 'TC-2020-000189-USA']"
USA,United States of America,2020,2020-08-22,Day,2020-08-22,Day,USA: Storm - Texas (Tom Green County) - 22/08/2020,2,Weather related,4,Meteorological,14,Storm,21,,95,95,,,[]
MMR,Myanmar,2020,2020-08-22,Day,2020-08-23,Day,Myanmar: Flood - Mon (Paung) - 22/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,18,18,,,[]
ARG,Argentina,2020,2020-08-23,Day,2020-08-23,Week,Argentina: Wildfires - Cordoba - 23/08/2020,2,Weather related,2,Climatological,9,Wildfire,11,,150,150,,,[]
MMR,Myanmar,2020,2020-08-23,Day,2020-08-25,Day,Myanmar: Flood - Mon (Mudon) - 23/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,866,870,,,[]
BOL,Bolivia (Plurinational State of),2020,2020-08-24,Day,2020-08-24,Day,Bolivia: Floods - Santa Cruz (Yapacaní) - 24/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,3,3,,,[]
MEX,Mexico,2020,2020-08-24,Day,2020-08-24,Day,Mexico: Flood - Oaxaca (Palo Blanco) - 24/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,456,460,,,[]
MMR,Myanmar,2020,2020-08-24,Day,2020-08-24,Day,Myanmar: Flash flood - Shan (Hsipaw) - 24/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,112,110,,,[]
MMR,Myanmar,2020,2020-08-24,Day,2020-08-24,Day,Myanmar: Flood - Bago (Kyaukkyi) - 24/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,47,47,,,[]
MMR,Myanmar,2020,2020-08-24,Day,2020-08-24,Day,Myanmar: Flood - Bago (Okpho) - 24/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,56,56,,,[]
MMR,Myanmar,2020,2020-08-24,Day,2020-08-24,Day,Myanmar: Flood - Karen (Hpapun) - 24/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,169,170,,,[]
TUR,Türkiye,2020,2020-08-24,Day,2020-08-24,Week,Turkey: Floods -  Giresun - 24/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,157,160,61,61,[]
PER,Peru,2020,2020-08-24,Day,2020-08-26,Week,Peru: Wildfires - Huanuco (Umai) - 24/08/2020,2,Weather related,2,Climatological,9,Wildfire,11,,7,7,7,7,[]
MMR,Myanmar,2020,2020-08-24,Day,2020-08-30,Day,Myanmar: Flood - Karen (Hpa-an) - 24/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,1710,1700,,,[]
NGA,Nigeria,2020,2020-08-24,Day,2020-08-30,Day,Nigeria: Floods - Nasarawa (Nasarawa); Zamfara (Bundugu) - 24/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,936,940,,,[]
IDN,Indonesia,2020,2020-08-25,Day,2020-08-26,Day,Indonesia: Flood - Maluku (Seram Island) - 25/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,689,690,,,[]
AFG,Afghanistan,2020,2020-08-25,Day,2020-08-27,Day,Afghanistan: Floods - 6 provinces - 25/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,13638,14000,,,['FF-2020-000191-AFG']
GBR,United Kingdom of Great Britain and Northern Ireland,2020,2020-08-25,Day,2020-08-28,Week,United Kingdom: Storm Francis - 25/08/2020,2,Weather related,4,Meteorological,14,Storm,21,,122,120,,,[]
PER,Peru,2020,2020-08-26,Day,2020-08-26,Day,Peru: Wildfires - Huanuco (Conchamarca) - 26/08/2020,2,Weather related,2,Climatological,9,Wildfire,11,,17,17,17,17,[]
SLV,El Salvador,2020,2020-08-26,Day,2020-08-27,Day,El Salvador: Floods - San Salvador (Brisas Candelaria) - 26/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,80,80,,,[]
MEX,Mexico,2020,2020-08-26,Day,2020-08-28,Day,"Mexico: Hurricane Hernan - Colima, Guerrero and Jalisco - 26/08/2020",2,Weather related,4,Meteorological,14,Storm,24,,1418,1400,,,[]
ESP,Spain,2020,2020-08-27,Day,2020-08-27,Day,Spain: Wildfire - Andalucía (Almonaster la Real) - 27/08/2020,2,Weather related,2,Climatological,9,Wildfire,11,,3150,3200,,,[]
ESP,Spain,2020,2020-08-27,Day,2020-08-27,Day,Spain: Wildfire - Extremadura (Cabezuela del Valle) - 27/08/2020,2,Weather related,2,Climatological,9,Wildfire,11,,120,120,,,[]
UGA,Uganda,2020,2020-08-27,Week,2020-08-27,Week,Uganda: Floods- Western Region (Bundibugyo)- 27/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,980,980,980,980,[]
CHN,China,2020,2020-08-27,Day,2020-09-07,Day,"China, North Korea, South Korea: Typhoon Maysak - 27/08/2020",2,Weather related,4,Meteorological,14,Storm,24,,38900,39000,,,[]
KOR,Republic of Korea,2020,2020-08-27,Day,2020-09-07,Day,"China, North Korea, South Korea: Typhoon Maysak - 27/08/2020",2,Weather related,4,Meteorological,14,Storm,24,,2834,2800,,,[]
PRK,Democratic People's Republic of Korea,2020,2020-08-27,Day,2020-09-07,Day,"China, North Korea, South Korea: Typhoon Maysak - 27/08/2020",2,Weather related,4,Meteorological,14,Storm,24,,2800,2800,2800,2800,[]
COL,Colombia,2020,2020-08-29,Day,2020-08-29,Day,Colombia: Landslide - Antioquia (Copacabana) - 29/08/2020,2,Weather related,3,Hydrological,11,Mass Movement,15,,37,37,,,[]
ESP,Spain,2020,2020-08-29,Day,2020-08-29,Day,Spain: Wildfire - Extremadura (Pinofranqueado) - 29/08/2020,2,Weather related,2,Climatological,9,Wildfire,11,,186,190,,,[]
ESP,Spain,2020,2020-08-29,Day,2020-08-29,Day,Spain: Wildfire - Murcia (Mula) - 29/08/2020,2,Weather related,2,Climatological,9,Wildfire,11,,86,86,,,[]
MMR,Myanmar,2020,2020-08-29,Day,2020-08-29,Day,Myanmar: Flood - Bago (Pyay) - 29/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,3118,3100,,,[]
USA,United States of America,2020,2020-08-29,Day,2020-08-29,Day,USA: Storm - Texas (Tarrant County) - 29/08/2020,2,Weather related,4,Meteorological,14,Storm,21,,35,35,,,[]
NGA,Nigeria,2020,2020-08-29,Day,2020-08-30,Day,"Nigeria: Floods - Borno (Dikwa, Jere, Maiduguri, Konduga) - 29/08/2020",2,Weather related,3,Hydrological,10,Flood,13,,360,360,,,[]
IND,India,2020,2020-08-30,Day,2020-08-30,Day,India: Riverbank erosion - West Bengal (Malda) - 30/08/2020,2,Weather related,3,Hydrological,11,Mass Movement,15,,1250,1200,3290,3300,[]
ITA,Italy,2020,2020-08-30,Day,2020-08-30,Day,Italy: Flood - Veneto (Neumarkt - Egna) - 30/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,320,320,,,[]
PER,Peru,2020,2020-08-30,Day,2020-08-30,Day,Peru: Strong Winds - San Martin (Picota) - 30/08/2020,2,Weather related,4,Meteorological,14,Storm,21,,38,38,38,38,[]
PER,Peru,2020,2020-08-30,Day,2020-08-30,Day,Peru: Strong Winds - San Martin (San Martin de Alao) - 30/08/2020,2,Weather related,4,Meteorological,14,Storm,21,,3,3,3,3,[]
PER,Peru,2020,2020-08-30,Day,2020-08-30,Day,Peru: Wildfires - Huanuco (Chavinillo) - 30/08/2020,2,Weather related,2,Climatological,9,Wildfire,11,,10,10,10,10,[]
CRI,Costa Rica,2020,2020-08-30,Week,2020-09-01,Day,Costa Rica: Floods - Guanacaste - 30/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,745,740,745,740,[]
PER,Peru,2020,2020-08-30,Day,2020-09-30,Day,Peru: Strong Winds - San Martin (Nueva Cajamarca) - 30/08/2020,2,Weather related,4,Meteorological,14,Storm,21,,10,10,10,10,[]
BDI,Burundi,2020,2020-08-31,Day,2020-08-31,Day,Burundi: Flash floods- Cankuzo- 31/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,127,130,,,[]
LKA,Sri Lanka,2020,2020-08-31,Day,2020-08-31,Day,Sri Lanka: Storm - Northen (Vavuniya/Vavuniya Town) - 31/08/2020,2,Weather related,4,Meteorological,14,Storm,21,,17,17,17,17,[]
BEN,Benin,2020,2020-08-31,Day,2020-09-01,Day,Benin: Flood - Kandi (Gogbèdè) - 31/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,20,20,20,20,[]
COL,Colombia,2020,2020-08-31,Day,2020-09-01,Day,Colombia: Landslide - Bogotá DC (Ciudad Bolivar) - 31/08/2020,2,Weather related,3,Hydrological,11,Mass Movement,15,,111,110,,,[]
USA,United States of America,2020,2020-08-31,Day,2020-09-02,Week,USA: Wildfire (Evans Canyon) - Washington (Yakima County) - 31/08/2020,2,Weather related,2,Climatological,9,Wildfire,11,,65,65,16,16,[]
NGA,Nigeria,2020,2020-08-31,Day,2020-09-06,Day,"Nigeria: Floods - Kaduna (Chikun, Kaduna North, Kaduna South), Katsina (Charanchi, Kaita), Plateau (Langtang South), Zamfara (Anka, Gummi, Gusau) - 31/08/2020",2,Weather related,3,Hydrological,10,Flood,13,,14654,15000,,,[]
CHN,China,2020,2020-08-31,Week,2020-09-09,Week,"China, Japan, South Korea: Typhoon Haishen - 31/08/2020",2,Weather related,4,Meteorological,14,Storm,24,,1499,1500,,,['TC-2020-000197-JPN']
GRC,Greece,2020,2020-08-31,Day,2020-09-09,Day,Greece: Wildfire - East Attica (Keretea) - 09/09/2020,2,Weather related,2,Climatological,9,Wildfire,11,,2400,2400,,,[]
JPN,Japan,2020,2020-08-31,Week,2020-09-09,Week,"China, Japan, South Korea: Typhoon Haishen - 31/08/2020",2,Weather related,4,Meteorological,14,Storm,24,,174904,175000,5,5,['TC-2020-000197-JPN']
KOR,Republic of Korea,2020,2020-08-31,Week,2020-09-09,Week,"China, Japan, South Korea: Typhoon Haishen - 31/08/2020",2,Weather related,4,Meteorological,14,Storm,24,,3077,3100,297,300,['TC-2020-000197-JPN']
CHL,Chile,2020,2020-09-01,Day,2020-09-01,Day,Chile: Earthquake - Huasco - 01/09/2020,1,Geophysical,1,Geophysical,1,Earthquake,1,,2,2,,,[]
IDN,Indonesia,2020,2020-09-01,Day,2020-09-01,Day,Indonesia: Floods - North Sumatra (South Nias Regency) - 01/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,221,220,,,[]
IDN,Indonesia,2020,2020-09-01,Day,2020-09-01,Day,Indonesia: Storm - North Sumatra (Batubara Regency) - 01/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,29,29,29,29,[]
LKA,Sri Lanka,2020,2020-09-01,Day,2020-09-01,Day,Sri Lanka: Storm - Northen (Mannar/Mannar Town) - 01/09/2020,2,Weather related,4,Meteorological,14,Storm,21,,200,200,,,[]
PER,Peru,2020,2020-09-01,Day,2020-09-01,Day,Peru: Storm - San Martin (Shamboyacu) - 01/09/2020,2,Weather related,4,Meteorological,14,Storm,21,,3,3,3,3,[]
GIN,Guinea,2020,2020-09-01,Week,2020-09-03,Week,Guinea: Floods - Kankan (Mandiana/Koundjan) - 01/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,371,370,604,600,[]
MLI,Mali,2020,2020-09-01,Week,2020-09-03,Week,Mali: Floods - Ségou (Macina) - 01/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,1152,1200,,,[]
BLZ,Belize,2020,2020-09-01,Day,2020-09-05,Day,Belize: Tropical Storm Nana - 01/09/2020,2,Weather related,4,Meteorological,14,Storm,21,,4085,4100,,,[]
NGA,Nigeria,2020,2020-09-01,Day,2020-09-06,Day,"Nigeria: Floods - Borno (Gwoza, Monguno, Maiguduri, Konduga LGAs) - 01/09/2020",2,Weather related,3,Hydrological,10,Flood,13,,3764,3800,,,[]
IND,India,2020,2020-09-01,Week,2020-09-08,Day,India: Erosion - Bihar (Madhubani) - September 2020,2,Weather related,3,Hydrological,11,Mass Movement,15,,33,33,33,33,[]
GHA,Ghana,2020,2020-09-01,Week,2020-09-18,Week,Ghana: Flood [Begram dam spillage] - Savannah - 01/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,1245,1200,,,[]
GHA,Ghana,2020,2020-09-01,Week,2020-09-21,Week,Ghana: Floods - Upper East - 01/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,546,550,546,550,[]
BEN,Benin,2020,2020-09-01,Week,2020-10-01,Week,Benin: Flood - Alibori (Malanville) - 01/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,7000,7000,2529,2500,[]
NGA,Nigeria,2020,2020-09-01,Week,2020-10-06,Week,Nigeria: Floods - Jigawa - 01/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,4532,4500,,,['FL-2020-000207-NGA']
BDI,Burundi,2020,2020-09-02,Day,2020-09-02,Day,Burundi: Strong winds- Rumonge- 02/09/2020,2,Weather related,4,Meteorological,14,Storm,21,,98,98,,,[]
LKA,Sri Lanka,2020,2020-09-02,Day,2020-09-02,Day,Sri Lanka: Storm - North Western (Puttalam/Kalpitiya) - 02/09/2020,2,Weather related,4,Meteorological,14,Storm,21,,14,14,14,14,[]
PER,Peru,2020,2020-09-02,Day,2020-09-02,Day,Peru: Storm - San Martin (Chazuta) - 02/09/2020,2,Weather related,4,Meteorological,14,Storm,21,,14,14,14,14,[]
IRL,Ireland,2020,2020-09-02,Day,2020-09-03,Day,Ireland: Floods - County Galway (Connemara) - 02/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,46,46,,,[]
VEN,Venezuela (Bolivarian Republic of),2020,2020-09-02,Day,2020-09-03,Day,Venezuela: Floods - Trujillo (Valera) - 02/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,3,3,3,3,[]
USA,United States of America,2020,2020-09-02,Day,2020-09-04,Week,"USA: Wildfire (Snider/Rice Complex) - Montana (Rosebud, Cluster and Powder River) - 02/09/2020",2,Weather related,2,Climatological,9,Wildfire,11,,3156,3200,,,[]
USA,United States of America,2020,2020-09-02,Day,2020-09-05,Week,USA: Wildfire (Bobcat) - Montana (Musselshell and Yellowstone) - 02/09/2020,2,Weather related,2,Climatological,9,Wildfire,11,,400,400,13,13,[]
IDN,Indonesia,2020,2020-09-02,Day,2020-09-09,Day,Indonesia: Floods - West Kalimantan (Mempawah Regency) - 02/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,120,120,,,[]
IDN,Indonesia,2020,2020-09-03,Day,2020-09-03,Day,Indonesia: Flood - South Kalimantan (Tanah Laut and Tanah Bumbu Regencies) - 03/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,658,660,,,[]
USA,United States of America,2020,2020-09-03,Day,2020-09-03,Day,USA: Tornado - Maryland (Anne Arundel County) - 03/09/2020,2,Weather related,4,Meteorological,14,Storm,23,,2,2,,,[]
THA,Thailand,2020,2020-09-03,Day,2020-09-05,Day,Thailand: Flood - Trang (Hat Samran) - 04/09/2020,2,Weather related,4,Meteorological,14,Storm,21,,10,10,,,[]
CHN,China,2020,2020-09-03,Day,2020-09-07,Day,China: Floods - Guizhou - 03/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,1717,1700,240,240,[]
USA,United States of America,2020,2020-09-04,Day,2020-09-06,Week,USA: Wildfire (Bridger Foothills) - Montana (Gallatin) - 04/09/2020,2,Weather related,2,Climatological,9,Wildfire,11,,83,83,83,83,[]
COL,Colombia,2020,2020-09-04,Day,2020-10-05,Day,Colombia: Flood - Huila (Sueza) - 04/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,148,150,148,150,[]
IDN,Indonesia,2020,2020-09-05,Day,2020-09-05,Day,Indonesia: Flood - West Kalimantan (Landak Regency) - 05/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,11,11,11,11,[]
IDN,Indonesia,2020,2020-09-05,Day,2020-09-05,Day,Indonesia: Flood - West Sumatra (Limapuluh Kota Regency) - 05/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,36,36,,,[]
GIN,Guinea,2020,2020-09-05,Day,2020-09-06,Day,Guinea: Floods - Siguiri (Kintinian / Fifa; Boukaria) - 05/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,1783,1800,1783,1800,[]
SEN,Senegal,2020,2020-09-05,Day,2020-09-06,Day,Senegal: Floods - countrywide - 05/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,3285,3300,2000,2000,[]
USA,United States of America,2020,2020-09-05,Day,2020-09-06,Week,USA: Wildfire (316) - Wyoming (Carbon County) - 05/09/2020,2,Weather related,2,Climatological,9,Wildfire,11,,1000,1000,,,[]
USA,United States of America,2020,2020-09-05,Day,2020-09-07,Week,USA: Wildfire (Creek) - California (Fresno and Madera) - 05/09/2020,2,Weather related,2,Climatological,9,Wildfire,11,,25043,25000,1474,1500,[]
USA,United States of America,2020,2020-09-05,Day,2020-09-07,Week,USA: Wildfire (EL Dorado) - California (San Bernardino County) - 05/09/2020,2,Weather related,2,Climatological,9,Wildfire,11,,21000,21000,10,10,[]
USA,United States of America,2020,2020-09-05,Day,2020-09-24,Day,USA: Wildfire (Valley) - California (San Diego County) - 05/09/2020,2,Weather related,2,Climatological,9,Wildfire,11,,12000,12000,78,78,[]
AFG,Afghanistan,2020,2020-09-06,Day,2020-09-06,Day,Afghanistan: Floods - Kunar (Asadabad) - 06/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,37,37,,,[]
LKA,Sri Lanka,2020,2020-09-06,Day,2020-09-06,Day,Sri Lanka: Avalanche - Western (Kalutara/Palindanuwara) - 06/09/2020,2,Weather related,3,Hydrological,11,Mass Movement,14,,44,44,,,[]
LKA,Sri Lanka,2020,2020-09-06,Day,2020-09-06,Day,Sri Lanka: Storm - Sabaragamuwa (Kegalle) - 06/09/2020,2,Weather related,4,Meteorological,14,Storm,21,,7,7,7,7,[]
MEX,Mexico,2020,2020-09-06,Day,2020-09-07,Day,Mexico: Evacuated - Guerrero (Petaquillas) - 06/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,8,8,,,[]
USA,United States of America,2020,2020-09-06,Day,2020-09-08,Week,USA: Wildfire (Cold Springs/Pearl Hill) - Washington (Douglas and Okanogan County) - 06/09/2020,2,Weather related,2,Climatological,9,Wildfire,11,,1555,1600,250,250,[]
IDN,Indonesia,2020,2020-09-06,Day,2020-09-13,Week,Indonesia: Flooding - Central Kalimantan (Lamandau Regency) - 06/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,279,280,,,[]
IDN,Indonesia,2020,2020-09-06,Day,2020-09-13,Day,Indonesia: Floods - Central Kalimantan (East Kotawaringin Regency) - 06/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,4,4,,,[]
IDN,Indonesia,2020,2020-09-06,Day,2020-09-13,Day,Indonesia: Floods - West Kalimantan (Melawi Regency) - 06/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,720,720,,,[]
USA,United States of America,2020,2020-09-06,Day,2020-09-14,Week,USA: Wildfire (Bobcat) - California (Los Angeles) - 06/09/2020,2,Weather related,2,Climatological,9,Wildfire,11,,8000,8000,226,230,[]
IDN,Indonesia,2020,2020-09-07,Day,2020-09-07,Day,Indonesia: Flash Flood - Gorontalo (Bone Bolango Regency) - 07/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,1500,1500,264,260,[]
IRN,Iran (Islamic Republic of),2020,2020-09-07,Day,2020-09-07,Day,"Iran: Earthquake - Golestan (Ramian/Qorchai, Elhadi and Viro villages) - 07/09/2020 ",1,Geophysical,1,Geophysical,1,Earthquake,1,,30,30,,,[]
LKA,Sri Lanka,2020,2020-09-07,Day,2020-09-07,Day,Sri Lanka: Landslide - Central (Nuwara Eliya/Abagamuwa) - 07/09/2020,2,Weather related,3,Hydrological,11,Mass Movement,15,,12,12,,,[]
PER,Peru,2020,2020-09-07,Day,2020-09-07,Day,Peru: Floods - Apurinac (Abancay) - 07/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,14,14,14,14,[]
IDN,Indonesia,2020,2020-09-07,Day,2020-09-08,Day,Indonesia: Floods - East Kalimantan (Penajam Paser Utara Regency) - 07/09/2020,2,Weather related,3,Hydrological,10,Flood,13,,4,4,,,[]
USA,United States of America,2020,2020-09-07,Day,2020-09-08,Week,USA: Wildfire (Apple Acres) - Washington (Chelan County) - 07/09/2020,2,Weather related,2,Climatological,9,Wildfire,11,,798,800,,,[]
USA,United States of America,2020,2020-09-07,Day,2020-09-08,Week,USA: Wildfire (Babb) - Washington (Spokane and Whitman) - 07/09/2020,2,Weather related,2,Climatological,9,Wildfire,11,,585,580,315,320,[]
USA,United States of America,2020,2020-09-07,Day,2020-09-08,Week,USA: Wildfire (Ether Hollow) - Utah (Utah County) - 07/09/2020,2,Weather related,2,Climatological,9,Wildfire,11,,500,500,,,[]
USA,United States of America,2020,2020-09-07,Day,2020-09-08,Week,USA: Wildfire (Two Four Two) - Oregon (Klamath County) - 07/09/2020,2,Weather related,2,Climatological,9,Wildfire,11,,1932,1900,21,21,[]
